,title,location,posted_on,institute,keyword,comb,exist
107,"Projektreferent*in für Kooperationen und Fördermittel, in Vollzeit oder vollzeitnah (ca. 30-40 Stunden)",Würzburg,01.08.2025,Initiative Junge Forscherinnen und Forscher e.V.,NeuroprostheticsResearch,01.08.2025|Würzburg,False
108,Assistant Professor(s) in Industrial Engineering,Aalborg (Dänemark),22.07.2025,Aalborg University,NeuralEngineering,22.07.2025|Aalborg (Dänemark),False
109,Professorin/Professor für Data Engineering (m/w/d),Rapperswil (Schweiz),10.07.2025,OST - Ostschweizer Fachhochschule,NeuralEngineering,10.07.2025|Rapperswil (Schweiz),False
110,Full Professor / Associate Professor / Lecturer in Computer Science with a focus on Software Engineering (f/m/d),Berlin,11.07.2025,German international University for Applied Science (GIU AS),NeuralEngineering,11.07.2025|Berlin,False
112,Professorin/Professor für Netzwerk und Cloud Engineering (m/w/d) (80%-100%),Rapperswil (Schweiz),29.07.2025,OST - Ostschweizer Fachhochschule,NeuralEngineering,29.07.2025|Rapperswil (Schweiz),False
113,"Wissenschaftlich Beschäftigte*r ""Simulation & Logistics Engineering""",Dortmund,18.07.2025,Technische Universität Dortmund,NeuralEngineering,18.07.2025|Dortmund,False
114,Professur „Machine Learning Engineering (MLOps)“ (w/m/d),Mannheim,31.07.2025,Technische Hochschule Mannheim,NeuralEngineering,31.07.2025|Mannheim,False
115,Tenure Track Assistant Professor in Engineering Immune Cells for Therapy,München,11.07.2025,Technische Universität München (TUM),NeuralEngineering,11.07.2025|München,False
116,Cloud-Engineer (m/w/d),"Leipzig, Frankfurt am Main",22.07.2025,Bundesamt für Kartographie und Geodäsie,NeuralEngineering,"22.07.2025|Leipzig, Frankfurt am Main",False
117,IT-DevOps-Engineer*in mit Schwerpunkt CRM und openshift,Wien,01.08.2025,Universität Wien,NeuralEngineering,01.08.2025|Wien,False
118,IT-DevOps-Engineer*in mit Schwerpunkt CRM,Wien,01.08.2025,Universität Wien,NeuralEngineering,01.08.2025|Wien,False
121,Wissenschaftliche Mitarbeiter:innen (w/m/d) als Spezialist:innen für Microlearnings im Transferhub,Mülheim an der Ruhr,05.08.2025,Hochschule Ruhr West,HebbianLearning,05.08.2025|Mülheim an der Ruhr,False
123,"W2-Universitätsprofessur Visual Computing Fakultät für Mathematik, Informatik und Naturwissenschaften",Aachen,31.07.2025,RWTH Aachen University,NeuromorphicComputing,31.07.2025|Aachen,False
124,Professur (W2 nach dem Jülicher Modell) für Scalable Scientific Computing (w/m/d),Köln,25.07.2025,Universität zu Köln,NeuromorphicComputing,25.07.2025|Köln,False
125,W2-Professur (m/w/d) Betriebliche Informationssysteme / Cloud Computing,Albstadt,29.07.2025,Hochschule Albstadt-Sigmaringen,NeuromorphicComputing,29.07.2025|Albstadt,False
130,Tenure-Track Professorship in Human Computer Interaction,Wien,01.08.2025,Universität Wien,NeuromorphicComputing,01.08.2025|Wien,False
132,University Professor of Quantum Computer Science (m/f/d),Innsbruck (Österreich),16.07.2025,Universität Innsbruck,NeuromorphicComputing,16.07.2025|Innsbruck (Österreich),False
133,Professor (W2) in Computer Science - Logic and Verification,Saarbrücken,10.07.2025,Universität des Saarlandes,NeuromorphicComputing,10.07.2025|Saarbrücken,False
135,Professorship (W 2) for Theoretical Computer Science,Potsdam,31.07.2025,Universität Potsdam,NeuromorphicComputing,31.07.2025|Potsdam,False
